Week,artificial intelligence,predictive analytics,machine learning,deep learning,data mining
2014-04-13 - 2014-04-19,22,3,18,3,25
2014-04-20 - 2014-04-26,21,3,15,3,26
2014-04-27 - 2014-05-03,21,2,15,3,24
2014-05-04 - 2014-05-10,23,3,17,3,25
2014-05-11 - 2014-05-17,19,4,16,3,24
2014-05-18 - 2014-05-24,19,3,15,4,26
2014-05-25 - 2014-05-31,18,3,15,3,22
2014-06-01 - 2014-06-07,19,3,16,3,22
2014-06-08 - 2014-06-14,19,3,15,3,22
2014-06-15 - 2014-06-21,19,3,16,2,22
2014-06-22 - 2014-06-28,17,3,15,3,22
2014-06-29 - 2014-07-05,17,2,14,2,22
2014-07-06 - 2014-07-12,16,3,15,3,22
2014-07-13 - 2014-07-19,18,3,17,3,24
2014-07-20 - 2014-07-26,15,3,17,3,23
2014-07-27 - 2014-08-02,15,3,15,3,21
2014-08-03 - 2014-08-09,19,3,16,3,23
2014-08-10 - 2014-08-16,20,3,16,3,22
2014-08-17 - 2014-08-23,21,3,16,3,25
2014-08-24 - 2014-08-30,20,3,17,3,24
2014-08-31 - 2014-09-06,19,3,17,3,24
2014-09-07 - 2014-09-13,20,3,19,4,26
2014-09-14 - 2014-09-20,20,4,17,3,25
2014-09-21 - 2014-09-27,20,3,18,4,28
2014-09-28 - 2014-10-04,19,3,18,3,26
2014-10-05 - 2014-10-11,19,3,19,4,27
2014-10-12 - 2014-10-18,20,3,21,3,28
2014-10-19 - 2014-10-25,20,3,21,4,24
2014-10-26 - 2014-11-01,24,3,19,4,29
2014-11-02 - 2014-11-08,22,3,19,4,27
2014-11-09 - 2014-11-15,22,3,20,4,28
2014-11-16 - 2014-11-22,28,3,20,4,29
2014-11-23 - 2014-11-29,23,3,19,4,27
2014-11-30 - 2014-12-06,32,3,21,4,28
2014-12-07 - 2014-12-13,26,3,21,6,28
2014-12-14 - 2014-12-20,20,3,21,7,27
2014-12-21 - 2014-12-27,18,2,15,6,21
2014-12-28 - 2015-01-03,18,2,14,5,17
2015-01-04 - 2015-01-10,22,3,20,7,25
2015-01-11 - 2015-01-17,25,3,21,7,25
2015-01-18 - 2015-01-24,25,3,22,6,28
2015-01-25 - 2015-01-31,26,3,19,6,26
2015-02-01 - 2015-02-07,24,3,22,6,27
2015-02-08 - 2015-02-14,24,4,22,7,28
2015-02-15 - 2015-02-21,26,3,20,6,27
2015-02-22 - 2015-02-28,25,4,23,7,28
2015-03-01 - 2015-03-07,26,3,22,6,26
2015-03-08 - 2015-03-14,26,3,23,6,28
2015-03-15 - 2015-03-21,24,3,22,7,28
2015-03-22 - 2015-03-28,24,4,22,7,27
2015-03-29 - 2015-04-04,23,4,22,6,26
2015-04-05 - 2015-04-11,23,4,24,6,28
2015-04-12 - 2015-04-18,23,3,25,6,28
2015-04-19 - 2015-04-25,25,3,22,6,30
2015-04-26 - 2015-05-02,25,3,25,6,27
2015-05-03 - 2015-05-09,27,3,25,6,29
2015-05-10 - 2015-05-16,27,3,23,7,27
2015-05-17 - 2015-05-23,26,3,23,7,26
2015-05-24 - 2015-05-30,26,3,22,7,24
2015-05-31 - 2015-06-06,23,3,24,8,24
2015-06-07 - 2015-06-13,22,3,23,7,23
2015-06-14 - 2015-06-20,24,3,24,8,23
2015-06-21 - 2015-06-27,23,3,23,9,23
2015-06-28 - 2015-07-04,26,3,23,7,22
2015-07-05 - 2015-07-11,26,3,24,8,22
2015-07-12 - 2015-07-18,24,4,23,8,20
2015-07-19 - 2015-07-25,26,3,22,8,20
